IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0067245,24,111,RHÔNE-ALPES,82,,,,2,2,,,,01,2,2,2,2,46,"02 CDI, Fonctionnaire",CER,11,523A,13L,58.476636336,93,82,1546,1,0,44,2
C0067273,24,111,LANGUEDOC-ROUSSILLON,91,,2,2,2,2,,,,03,1,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,434A,13L,48.868840565,91,91,1300,1,2,44,2
C0067276,24,111,BOURGOGNE,26,,1,1,2,2,2,,,03,1,1,1,2,46,04 Emploi à durée déterminée,CER,00,523A,13L,43.789520466,92,26,1190,1,0,,2
C0067302,24,111,ALSACE,42,2,1,3,2,2,,3,,01,2,1,1,2,46,"02 CDI, Fonctionnaire",CER,00,375B,13L,45.119110206,04,42,1699.65625,1,27,27,2
C0067424,26,211,RHÔNE-ALPES,82,,5,4,2,2,,,,02,2,1,2,2,46,03 Contrat aidé,CER,00,541C,13L,98.216052832,91,82,896,1,0,,2
C0067426,24,111,NORD-PAS-DE-CALAIS,31,,5,5,2,2,,,,02,1,2,2,2,40,04 Emploi à durée déterminée,CER,00,422A,10L,57.805768132,03,31,1423,1,,,2
C0067468,24,221,BRETAGNE,53,,3,3,2,2,,,,03,1,1,1,2,39,"02 CDI, Fonctionnaire",CER,00,532C,10M,25.774536867,04,26,1730,1,0,50,2
C0067539,24,221,BOURGOGNE,26,,1,1,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,385B,16,31.867054721,71,26,2492.0833282,1,0,6,2
C0067543,24,111,MIDI-PYRÉNÉES,73,,3,3,2,2,,,,02,2,1,2,2,46,04 Emploi à durée déterminée,CER,00,353B,13L,36.161426591,91,26,1462,1,0,,2
C0067550,24,300,BOURGOGNE,26,,5,5,2,2,2,,,02,2,1,1,2,47,04 Emploi à durée déterminée,CER,00,381A,13M,69.807620479,71,26,1935,1,3,14,2
C0067588,24,111,RHÔNE-ALPES,82,,4,1,2,2,,,,03,2,1,2,2,46,,CER,00,,13L,78.283989697,,82,,2,0,,1
C0067616,24,111,RHÔNE-ALPES,82,,2,4,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,39.138371232,71,41,2400,1,0,15,2
C0067644,24,112,PAYS DE LA LOIRE,52,,1,3,2,2,,,,03,1,1,2,2,47,04 Emploi à durée déterminée,CER,00,333F,14M,46.536944401,72,82,2051,1,0,0,2
C0067653,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,1,2,52,"02 CDI, Fonctionnaire",THE,00,384A,18M,4.5200102745,71,11,2433,1,10,10,2
C0067744,24,300,BOURGOGNE,26,2,2,2,2,2,,,,01,1,1,1,2,47,,CER,00,,13M,19.341432288,,74,,2,,,2
C0067908,30,111,ÎLE-DE-FRANCE,11,,3,3,1,2,,,,02,2,1,2,2,52,"02 CDI, Fonctionnaire",THE,00,342A,18L,5.0450192075,72,11,2000,1,0,11,2
C0067965,26,112,MIDI-PYRÉNÉES,73,,1,3,1,2,,,,02,1,1,1,2,52,01 Non salarié,THE,00,227D,18M,4.0807623876,,52,,1,0,,2
C0067991,27,112,LORRAINE,41,,7,7,1,2,,1,,02,2,1,2,2,50,01 Non salarié,CER,00,311C,17,44.726848347,,41,,1,0,,2
